URL,Video File, recorded  indoors?__yes, recorded indoors__ green screen, recorded indoors__Car, recorded indoors__Doctor's office,recorded indoors__Home, recorded indoors__Studio , name of a medication?__yes,medication__ Benzos, medication__ Citalopram, medication__ Cymbalta, medication__ Dexedrine,medication__ Fluoxetine ,medication__ Lamictal, medication__ Lexapro,medication__ Lexapro and Prozac , medication__ Seroquel ,medication__ Vibryd, medication__ Xanax,medication__ Zoloft,medication__NAN,Analyze the tone pitch and emotional expression of the speaker's voice in the audio Based on your analysis categorize the overall sentiment: __ sad,Analyze the tone pitch and emotional expression of the speaker's voice in the audio Based on your analysis categorize the overall sentiment :__Stressed ,Analyze the tone pitch and emotional expression of the speaker's voice in the audio Based on your analysis categorize the overall sentiment :__Happy,Analyze the tone pitch and emotional expression of the speaker's voice in the audio Based on your analysis categorize the overall sentiment : _Neutral ,swearing or profanity __yes," swearing or profanity __ ""f"" word","swearing or profanity __""shit""",swearing or profanity __NAN,Female,Male,Adult,Teenage,person in the video__Content creator/influencer, person in the video__ healthcare professional , person in the video __Unclear,suicidal thoughts in the video __yes, encourage viewers to seek professional help or consult a healthcare provider__yes, improvement after stopping the medication__yes,try multiple medications __yes,try multiple medications __ Effexor and Lexapro, try multiple medications __Lexapro and Prozac,try multiple medications__ Lexapro and Zoloft,try multiple medications __ Zoloft and Prozac ,try multiple medications __Citalopram , try multiple medications __NAN, try multiple medications__Zoloft , try multiple medications __Zoloft and Prozac,How 3 were the side effects mentioned by the user while using the medication?_flag,Does the speaker indicate whether side effects -1 or 1 over time?_flag,"Does the speaker mention cognitive side effects (e.g., memory loss, difficulty concentrating)?_flag_yes","Does the speaker mention any sexual side effects (e.g., decreased libido)?_flag_yes",Is there mention of weight gain or weight loss due to medication?_desc,Does the speaker mention how long withdrawal symptoms lasted?_flag_yes,Does the speaker mention how long withdrawal symptoms lasted?_desc_15 weeks,Does the speaker mention how long withdrawal symptoms lasted?_desc_2 weeks,Does the speaker mention how long withdrawal symptoms lasted?_desc_52+ weeks,Does the speaker mention how long withdrawal symptoms lasted?_desc_NAN,"Based on the user's description, how severe were the withdrawal symptoms they experienced?_flag",Views,Likes,Comments,Description,Channel Name,Published At,Subscriber Count,Video Count,"Did the user report physical side effects (e.g., nausea, fatigue, dizziness)?_flag","Did the user report psychological side effects (e.g., anxiety, numbness, agitation)?_flag",Did the user report overall improvement while on medication?_flag,Did the user stop taking antidepressants?_flag,"After stopping antidepressants, did the user experience withdrawal symptoms?_flag","After stopping antidepressants, did the user experience withdrawal symptoms?_desc",What was the stated reason for starting antidepressants? Has the user mentioned it?_desc,What was the overall outcome described by the user?_desc,What antidepressant medication(s) does the user mention by name?_desc,Does the user mention dosage of medication?_flag,Does the user mention dosage of medication?_desc,Does the user mention a change in medication dosage? Specify details if yes_flag,Does the user mention a change in medication dosage? Specify details if yes_desc,Did the user mention length of usage for medication?_flag,Did the user mention length of usage for medication?_desc,"What alternative treatments did the user try, if any?_desc",chills,dizziness.1,dry mouth,fatigue,feeling sick,headaches,increased sweating,leg discomfort,loss of appetite,sexual dysfunction,shaking,sweating,tremors,vomiting,weight gain,brain fog,brain zaps,cold sweats,difficulty sleeping,hair loss.1,increased appetite,nausea.1,physical pain,restlessness,sexual dysfunction.1,shaking.1,sweating.1,tremors.1,weight gain.1,anxiety,blunted,depersonalization,depression,panic attacks,suicidal,vivid dreams,zombie,blunted,brain fog,memory loss,numb,suicidal,suicidal
https://www.youtube.com/shorts/-6z7eaUiDis,First day on ADHD meds #mentalhealth #adhd #adhdwo.webm,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,-1,1,0,233117,4359,265,,Micheline Maalouf,2018-02-24T17:35:51Z,60500,374,1,-1,,,0,in the video.,,Mixed Outcome,,-1,,-1,,0,.,None were mentioned.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.youtube.com/shorts/in0PRlZRmwc,Going through a storm of Akathisia and Tardive Dys.webm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,0,-1,-1,0,-1,-1,-1,-1,1,1,1024,22,3,,Joey Marino Story,2024-02-18T18:12:14.789003Z,180,71,1,1,-1,1,1,brain zaps,Depression,-1,,-1,,-1,,0,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.youtube.com/shorts/JXiqF9kiSis,Have you been screened for Tardive Dyskinesia (TD).webm,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,2,0,-1,-1,0,-1,-1,-1,-1,1,1,96787,4968,266,"Has your doctor screened you for tardive dyskinesia (TD)?

If you take antipsychotic medications, this is something you need to be aware of.
Watch this reel and tune in to my live interview right here on Instagram with Dr. Leslie
Citrome, a psychiatrist specializing in TD, Monday March 13 at 8pm
EST to learn more about TD and its impact.

Also, make sure to check out this link to participate in a survey where you
could be entered to win 1 of 5 $100 VISA gift cards.
https://survey.alchemer.com/s3/7223066/Lauren-Kennedy

Thanks @MedIQCME in partnership with @namimaryland. Supported by Teva
Pharmaceuticals.

New Living Well With Mental Illness PODCAST! https://www.youtube.com/@livingwellwithmentalillness

HELP SUPPORT THE CHANNEL
We depend on the support of our audience to create this valuable resource. If you have found our content helpful, please consider supporting us today. Your contribution can make a huge difference and enable us to continue providing valuable resources to those living with mental illness.
• One-time donation: https://donate.stripe.com/9AQ6oV5S0eft5568ww
• Monthly donation: https://www.patreon.com/livingwellwithschizophrenia

JOIN OUR ONLINE PEER SUPPORT COMMUNITY
Join a welcoming community of your peers and find comfort in sharing your experiences. By joining our community, you can benefit from the support of others who understand what you’re going through. We offer live weekly facilitated video peer support groups and text channels to communicate about a wide range of topics. Join today and start feeling less alone with what you’re going through.
• Schizophrenia Peer Support Community: https://www.schizophreniapeersupport.com
• General Mental Illness Peer Support Community: https://www.onlinepeersupport.com

MENTAL HEALTH APPAREL 
Wear your support for mental health! Our t-shirts, sweaters, and mugs not only spread awareness but also help support this channel. Pick up some mental health apparel today and make a statement while making a difference.
https://livingwell.myspreadshop.com/

SPEAKING & CONSULTING
Looking for an expert speaker or consultant for your upcoming event or project? With years of experience and a passion for mental health advocacy, I can provide the insight and inspiration you need to make a positive impact. Visit my speaking website to learn more! 
https://www.laurenkennedywest.com/

SOCIALS
Instagram: https://www.instagram.com/livingwellwithschizophrenia/
TikTok: https://www.tiktok.com/@livingwellschizophrenia
Twitter: https://twitter.com/LWSchizophrenia 
Website: https://www.livingwellwithschizophrenia.org

#schizophrenia #schizoaffective #schizoaffectivedisorder #mentalhealth #mentalillness #symptoms #TD #TardiveDyskinesia",Lauren Kennedy West,2018-12-11T17:55:22Z,333000,436,1,1,-1,1,1,brain zaps,Depression,0,Zoloft,1,", 50mg.",-1,,1,1,Therapy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.youtube.com/shorts/gr9NjA2t6pY,Heroin vs Antidepressants： which withdrawal is wor.webm,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1,-1,-1,2,0,-1,-1,0,-1,-1,-1,-1,1,0,10311,968,107,"This man compares quitting antidepressants to heroin withdrawal. Most doctors dismiss this, but countless people report crippling symptoms when stopping antidepressants. Is the medical system downplaying the reality of withdrawal?

👇 HOW CAN I HELP YOU?

💊 STEP OFF MEDICATIONS:
https://membership.taperclinic.com/sign-up

👀 FREE Webinar
 https://membership.taperclinic.com/sign-up

🎙️ Share YOUR Story: https://upload.vloggi.com/projects/YXLW-001

CONNECT WITH ME:
📸 Instagram: https://www.instagram.com/taperclinic/
👨‍💻 TikTok: https://www.tiktok.com/@taperclinic
🌍 My website: https://taperclinic.com/


‼️ DISCLAIMER: All the information on this channel is for educational and/or entertainment purposes and not intended to be specific/personal medical advice from me to you. Watching the videos, or getting answers to comments/question, does not establish a doctor-patient relationship. If you have your own doctor, these videos can maybe help you prepare for your discussion with him. We do our best to spread awareness with these videos, but for legal reasons we can’t answer health questions in the comments. If you leave questions, we’ll make videos about common questions in the future! If we catch incorrect health information, hate speech, illegal solicitation of drugs in the comments, we will remove them.

#SSRIs #AcuteWithdrawal #InformedConsent",Dr. Josef,2022-12-12T01:47:38.250201Z,121000,916,1,-1,0,0,0,in the video.,,,,-1,,-1,,1,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.youtube.com/shorts/FTQElJQcfrQ,His Life Would Have Been Awful #accutane #mentalhe.webm,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,0,0,-1,-1,-1,-1,-1,1,-1,-1,2,0,-1,-1,0,-1,-1,-1,-1,1,0,7811,160,9,"We missed him... but we know his life would have been terrible. #accutane #mentalhealth #psychmeds #antidepressantsideeffects

Watch the full episode here: https://youtu.be/twTw6p0rLD8",Dr. Josef,2022-12-12T01:47:38.250201Z,121000,916,1,-1,0,0,0,in the video.,,,,-1,,-1,,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.youtube.com/watch?v=CzgI8bQUDfo,How Antidepressants Saved My Life.mkv,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,2,0,-1,-1,0,-1,-1,-1,-1,1,1,19846,738,250,"This is my journey from anxiety and depression to a healthy mind.

*****
Support me on Patreon: https://www.patreon.com/booksandbao
Visit my website: https://booksandbao.com/
TikTok: https://www.tiktok.com/@booksandbao
Twitter: https://twitter.com/BooksandBao
Instagram: https://www.instagram.com/booksandbao/",Willow Talks Books,2018-05-20T15:29:59Z,58000,881,1,1,-1,1,1,brain zaps,Depression,-1,Zoloft,1,", 50mg.",-1,,1,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.youtube.com/watch?v=_pYVQ_r-nrM,How I overcame depression without medication.mp4,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,2,1,-1,-1,1,-1,-1,-1,-1,1,1,120315,2082,264,"Alison Canavan, 39, a motivational speaker, shares her My Healthista Story of overcoming 20 years of depression and anxiety whilst ditching the drink and medication

SUBSCRIBE NOW: https://www.youtube.com/user/Healthista

Get more from the Healthista team here:
ONLINE: http://www.healthista.com/ 
TWITTER: https://twitter.com/healthistatv 
FACEBOOK: https://www.facebook.com/Healthista
INSTAGRAM: https://www.instagram.com/healthistatv/ 
PINTEREST: https://www.pinterest.com/HealthistaTV",HEALTHISTA TV | The Art of Wellness™,2013-06-07T16:56:54Z,157000,1166,1,1,-1,1,1,brain zaps,Postpartum,0,Zoloft,1,", 50mg.",-1,,1,12,Therapy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
https://www.youtube.com/shorts/-fzITFKH8ec,How I REDUCED my PSYCH MEDS by 60_ in 3 months.webm,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,2,0,-1,-1,1,-1,-1,-1,-1,1,2,60626,3510,228,"MEDICAL KETO RESOURCES
You can learn more about medical keto for mental illnesses on the Metabolic Mind YouTube channel (@metabolicmind) and on their website https://www.metabolicmind.org/

You can find more about my keto coach Nicole Laurent and her work on her website:
https://www.mentalhealthketo.com/

You can also learn more about metabolic health and mental illness from the book 'Brain Energy' by Dr. Christopher Palmer - https://brainenergy.com/

HOW TO TEST YOUR KETONES (important for medical keto!)
• The Keto Mojo blood glucose and ketone monitor is a finger prick blood test to accurately measure ketone and glucose levels. You can save 15% off monitor kits purchases and help support this content by using our affiliate link, thanks!: https://shop.keto-mojo.com/discount/nji98uhbvgy76tfc?rfsn=7812923.a84dcd1&utm_source=refersion&utm_medium=affiliate&utm_campaign=7812923.a84dcd1

• The SiBio continuous ketone monitor is a wearable device we have been using to get accurate and continuous ketone levels. You can save 15% using the coupon code “LIVINGWELL15” and help support this content by using our affiliate link, thanks!: https://www.sibiosensor.com/?ref=livingwellwithschizophrenia&utm_medium=affiliate&utm_source=goaffpro%26utm_medium 

HELP SUPPORT THE CHANNEL
We depend on the support of our audience to create this valuable resource. If you have found our content helpful, please consider supporting us today. Your contribution can make a huge difference and enable us to continue providing valuable resources to those living with mental illness.
• One-time donation: https://donate.stripe.com/9AQ6oV5S0eft5568ww
• Monthly donation: https://www.patreon.com/livingwellwithschizophrenia

JOIN OUR ONLINE PEER SUPPORT COMMUNITY
Join a welcoming community of your peers and find comfort in sharing your experiences. By joining our community, you can benefit from the support of others who understand what you’re going through. We offer live weekly facilitated video peer support groups and text channels to communicate about a wide range of topics. Join today and start feeling less alone with what you’re going through.
• Schizophrenia Peer Support Community: https://www.schizophreniapeersupport.com

MENTAL HEALTH APPAREL
Wear your support for mental health! Our t-shirts, sweaters, and mugs not only spread awareness but also help support this channel. Pick up some mental health apparel today and make a statement while making a difference.
https://livingwell.myspreadshop.com/

SPEAKING & CONSULTING
Looking for an expert speaker or consultant for your upcoming event or project? With years of experience and a passion for mental health advocacy, I can provide the insight and inspiration you need to make a positive impact. Visit my speaking website to learn more!
https://www.laurenkennedywest.com/

SOCIALS
Instagram: https://www.instagram.com/livingwellwithschizophrenia/
TikTok: https://www.tiktok.com/@livingwellschizophrenia
Twitter: https://twitter.com/LWSchizophrenia
Website: https://www.livingwellwithschizophrenia.org

#schizophrenia #schizoaffective #schizoaffectivedisorder #mentalhealth #mentalillness #metabolichealth #keto #metabolichealth #medicalketo #medication",Lauren Kennedy West,2018-12-11T17:55:22Z,333000,436,1,1,-1,1,1,"brain zaps, nausea, dizziness",Depression,-1,Zoloft,1,", 50mg.",-1,,1,6,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.youtube.com/shorts/OvPl2ovML4o,How Mental Wellness Benefits our Daily Lives.webm,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,1,0,146,5,0,"Mental wellness is important for our overall health and happiness, but did you know that it also has a significant impact on our daily lives? Explore the many ways that mental wellness can benefit us on a daily basis.

From improved focus and productivity at work to stronger relationships and better overall health, mental wellness can have a positive impact on virtually every aspect of our lives. 

We'll also introduce you to our online program for mental health and wellness, which offers a range of resources to help you achieve better mental wellness. With our program, you'll have access to tools and techniques to help you manage stress, anxiety, depression, and other mental health challenges.

Don't wait to start reaping the benefits of mental wellness. Watch this short video now and discover how our online program can help you take control of your mental health and lead a happier, more fulfilling life.


#mentalwellness #mentalhealth #wellness #selfcare #mindfulness #positivity #mentalhealthawareness #selfloveisimportant #stressmanagement #anxietyrelief #depressionhelps #healthylifestyle #mentalhealthmatters #personaldevelopment #mindbodysoul #selfimprovement #motivation #happiness #dailywellness #wellnessjourney #onlineprogram #cognitivecenter",Cognitive Center,2021-02-16T23:09:23.684537Z,325,141,0,0,0,0,0,,,,,-1,,-1,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.youtube.com/shorts/pdlhRKIvtwU,How Psilocybin Helped Me Heal My Depression.webm,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,1,0,15,0,0,"✨ My Psilocybin Journey: From Depression to Empowerment 🍄💫
Diving into a transformative experience... 👇

The Trial:
Used Psilocybin 🍄
Healed My Depression 😌
Reframed Old Trauma Stories ✨

The Awakening:
→ Opened my eyes 👀
→ Realized something had to change 💡
→ Recognized I was a slave to my own life 🔓

TRUTH BOMB! 💥
You are the creator of your reality -
Not the other way around.

The Revelations:
These businesses weren't serving me 🤔
This life I created was draining me 😩
I had the power to change it all 💪

The Shift:
→ No longer bound by old patterns 🙏
→ Ready to take back control 🎯
→ Empowered to rewrite my story 📖

Are you ready to reclaim your power?
Pull your free Human Design chart today with the link in my bio 💙🙂💙

#CoachDiamondDrip #DiamondDripsDiscussions #DiamondDripConsulting",Diamond Drip's Discussions,2021-10-28T21:44:21.873582Z,303,740,0,0,0,0,0,.,,,,-1,,-1,,0,.,Magic mushrooms.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
